customer_id	recent	monetary	frequency
2	2018-5-22 00:00:00	27	1
3	2018-7-2 00:00:00	378	1
4	2018-5-26 00:00:00	434	1
5	2018-5-26 00:00:00	292	2
6	2018-6-2 00:00:00	114	1
7	2018-6-30 00:00:00	304	2
8	2018-6-28 00:00:00	120	1
9	2018-6-26 00:00:00	349	2
10	2018-7-10 00:00:00	869	3
11	2018-6-29 00:00:00	4506	3
13	2018-7-2 00:00:00	738	1
14	2018-7-5 00:00:00	288	2
15	2018-7-4 00:00:00	878	2
16	2018-6-29 00:00:00	821	1
17	2018-7-9 00:00:00	353	2
18	2018-7-4 00:00:00	469	3
19	2018-7-8 00:00:00	237	3
22	2018-7-6 00:00:00	308	4
23	2018-6-5 00:00:00	1177	1
24	2018-6-17 00:00:00	27	1
25	2018-6-2 00:00:00	2234	3
26	2018-7-4 00:00:00	5804	3
27	2018-7-8 00:00:00	552	3
28	2018-6-28 00:00:00	295	2
29	2018-6-26 00:00:00	1075	5
30	2018-6-16 00:00:00	847	4
31	2018-6-17 00:00:00	884	3
32	2018-6-19 00:00:00	735	2
33	2018-6-5 00:00:00	1648	3
34	2018-6-6 00:00:00	69	1
35	2018-6-24 00:00:00	2081	5
37	2018-6-8 00:00:00	918	3
38	2018-7-8 00:00:00	569	3
39	2018-6-3 00:00:00	163	1
40	2018-7-7 00:00:00	3520	2
41	2018-6-11 00:00:00	433	2
42	2018-7-4 00:00:00	389	3
43	2018-6-30 00:00:00	338	4
44	2018-7-3 00:00:00	311	5
45	2018-6-24 00:00:00	1772	2
46	2018-6-22 00:00:00	952	4
48	2018-6-25 00:00:00	767	5
49	2018-7-10 00:00:00	846	5
50	2018-5-31 00:00:00	1370	3
51	2018-7-2 00:00:00	310	1
53	2018-6-20 00:00:00	1621	2
54	2018-7-9 00:00:00	107	2
55	2018-7-1 00:00:00	575	5
56	2018-5-29 00:00:00	969	1
57	2018-6-22 00:00:00	146	2
58	2018-7-8 00:00:00	1048	8
59	2018-7-8 00:00:00	513	4
60	2018-6-26 00:00:00	465	2
61	2018-7-4 00:00:00	281	3
63	2018-6-26 00:00:00	196	1
64	2018-6-29 00:00:00	292	3
65	2018-6-12 00:00:00	354	1
66	2018-7-4 00:00:00	1303	3
67	2018-6-24 00:00:00	402	4
68	2018-6-29 00:00:00	1017	6
69	2018-6-25 00:00:00	497	3
70	2018-6-30 00:00:00	76	1
71	2018-7-4 00:00:00	1416	1
72	2018-6-21 00:00:00	1450	4
74	2018-6-17 00:00:00	702	1
75	2018-7-7 00:00:00	1298	4
76	2018-6-19 00:00:00	201	2
77	2018-6-8 00:00:00	696	2
78	2018-7-8 00:00:00	540	4
79	2018-6-26 00:00:00	348	1
80	2018-6-8 00:00:00	261	2
81	2018-5-26 00:00:00	75	1
82	2018-7-2 00:00:00	1046	3
84	2018-7-10 00:00:00	1285	3
85	2018-6-24 00:00:00	547	4
86	2018-6-27 00:00:00	365	2
87	2018-6-2 00:00:00	992	3
88	2018-7-3 00:00:00	2014	3
89	2018-6-13 00:00:00	126	1
91	2018-6-11 00:00:00	544	2
92	2018-5-22 00:00:00	121	1
93	2018-7-3 00:00:00	772	4
94	2018-7-5 00:00:00	517	4
95	2018-5-21 00:00:00	206	1
96	2018-6-28 00:00:00	1248	4
97	2018-6-12 00:00:00	170	2
98	2018-6-12 00:00:00	228	1
99	2018-7-4 00:00:00	1276	5
100	2018-6-8 00:00:00	730	2
101	2018-7-8 00:00:00	3936	4
102	2018-7-8 00:00:00	338	2
103	2018-7-8 00:00:00	426	3
104	2018-7-3 00:00:00	324	1
105	2018-7-8 00:00:00	124	1
106	2018-6-27 00:00:00	1132	2
107	2018-6-2 00:00:00	6	1
108	2018-6-24 00:00:00	4763	5
109	2018-7-2 00:00:00	2242	7
110	2018-7-2 00:00:00	444	1
111	2018-6-7 00:00:00	671	3
112	2018-7-9 00:00:00	147	2
113	2018-7-6 00:00:00	664	3
114	2018-6-25 00:00:00	910	7
115	2018-6-30 00:00:00	1570	5
116	2018-6-27 00:00:00	1460	6
117	2018-5-23 00:00:00	260	1
118	2018-6-2 00:00:00	627	5
119	2018-5-25 00:00:00	857	1
120	2018-6-4 00:00:00	2506	2
121	2018-7-7 00:00:00	29	1
122	2018-6-3 00:00:00	126	1
123	2018-6-7 00:00:00	634	2
124	2018-6-19 00:00:00	486	4
125	2018-6-14 00:00:00	29	1
126	2018-6-26 00:00:00	102	2
127	2018-7-7 00:00:00	531	5
128	2018-7-8 00:00:00	749	3
129	2018-6-26 00:00:00	138	1
130	2018-6-6 00:00:00	177	2
131	2018-6-28 00:00:00	332	4
132	2018-7-5 00:00:00	278	1
133	2018-7-6 00:00:00	1224	1
134	2018-7-4 00:00:00	550	1
135	2018-6-29 00:00:00	759	3
136	2018-7-1 00:00:00	868	2
137	2018-7-7 00:00:00	562	5
138	2018-6-20 00:00:00	180	2
139	2018-6-17 00:00:00	41	1
140	2018-7-8 00:00:00	1109	4
141	2018-7-7 00:00:00	414	1
142	2018-7-4 00:00:00	656	4
143	2018-7-8 00:00:00	417	1
144	2018-5-30 00:00:00	211	1
145	2018-6-29 00:00:00	447	2
146	2018-7-9 00:00:00	582	1
147	2018-6-25 00:00:00	247	2
148	2018-7-8 00:00:00	934	6
149	2018-6-28 00:00:00	305	2
150	2018-6-24 00:00:00	1251	2
152	2018-6-27 00:00:00	335	2
153	2018-6-19 00:00:00	430	4
154	2018-7-9 00:00:00	109	1
155	2018-6-5 00:00:00	63	1
156	2018-6-1 00:00:00	107	1
157	2018-6-27 00:00:00	297	4
158	2018-7-9 00:00:00	626	5
159	2018-6-12 00:00:00	1219	2
160	2018-6-17 00:00:00	15	1
161	2018-5-23 00:00:00	61	1
163	2018-6-24 00:00:00	206	2
164	2018-7-8 00:00:00	131	2
165	2018-6-27 00:00:00	1169	5
166	2018-7-8 00:00:00	3712	4
167	2018-7-10 00:00:00	527	4
169	2018-7-7 00:00:00	35	1
170	2018-7-10 00:00:00	537	3
171	2018-6-11 00:00:00	2071	3
172	2018-6-26 00:00:00	402	3
173	2018-6-28 00:00:00	1247	3
174	2018-7-7 00:00:00	439	2
175	2018-7-9 00:00:00	559	4
176	2018-6-26 00:00:00	559	3
177	2018-7-2 00:00:00	2689	5
178	2018-6-24 00:00:00	1203	4
179	2018-5-29 00:00:00	17	1
181	2018-7-6 00:00:00	2999	4
182	2018-7-9 00:00:00	1018	4
184	2018-6-13 00:00:00	506	2
185	2018-6-4 00:00:00	75	2
186	2018-7-5 00:00:00	189	2
187	2018-6-14 00:00:00	1817	2
190	2018-5-24 00:00:00	221	1
191	2018-6-28 00:00:00	756	3
192	2018-6-29 00:00:00	3428	6
193	2018-7-6 00:00:00	382	3
194	2018-5-28 00:00:00	270	1
195	2018-6-30 00:00:00	23	1
197	2018-6-2 00:00:00	791	2
198	2018-7-7 00:00:00	550	4
199	2018-6-27 00:00:00	1229	2
201	2018-5-26 00:00:00	293	1
202	2018-7-2 00:00:00	478	4
203	2018-7-7 00:00:00	576	3
205	2018-7-9 00:00:00	935	5
206	2018-6-14 00:00:00	350	3
207	2018-6-7 00:00:00	1143	1
208	2018-7-9 00:00:00	830	3
209	2018-7-7 00:00:00	546	4
211	2018-6-24 00:00:00	51	2
213	2018-7-2 00:00:00	1032	3
214	2018-7-4 00:00:00	1086	4
215	2018-6-26 00:00:00	795	4
217	2018-7-4 00:00:00	2223	4
218	2018-6-11 00:00:00	56	1
219	2018-7-3 00:00:00	910	1
220	2018-6-9 00:00:00	72	1
221	2018-6-22 00:00:00	677	1
222	2018-6-26 00:00:00	1492	4
224	2018-7-8 00:00:00	329	3
225	2018-7-5 00:00:00	429	2
226	2018-7-10 00:00:00	1569	6
227	2018-6-23 00:00:00	1439	4
228	2018-7-8 00:00:00	869	3
229	2018-7-4 00:00:00	1664	3
230	2018-6-9 00:00:00	1153	3
231	2018-6-11 00:00:00	129	2
232	2018-6-21 00:00:00	542	2
233	2018-6-30 00:00:00	241	2
234	2018-7-10 00:00:00	1465	6
235	2018-6-18 00:00:00	945	3
236	2018-6-17 00:00:00	497	2
237	2018-7-7 00:00:00	525	2
239	2018-6-12 00:00:00	370	2
240	2018-7-9 00:00:00	1044	4
242	2018-6-28 00:00:00	339	3
244	2018-5-30 00:00:00	154	1
245	2018-7-2 00:00:00	272	3
247	2018-5-24 00:00:00	470	2
248	2018-5-28 00:00:00	192	2
249	2018-6-16 00:00:00	342	1
250	2018-6-4 00:00:00	260	2
252	2018-7-6 00:00:00	676	4
253	2018-6-30 00:00:00	158	2
255	2018-7-6 00:00:00	276	3
256	2018-6-11 00:00:00	1759	4
257	2018-7-8 00:00:00	104	1
258	2018-6-16 00:00:00	283	1
260	2018-7-5 00:00:00	951	4
261	2018-5-31 00:00:00	176	1
262	2018-6-21 00:00:00	9	1
263	2018-7-3 00:00:00	403	3
264	2018-6-14 00:00:00	309	2
265	2018-7-8 00:00:00	88	2
267	2018-6-28 00:00:00	609	3
268	2018-6-23 00:00:00	4	1
269	2018-7-1 00:00:00	593	1
270	2018-7-10 00:00:00	1896	5
271	2018-6-23 00:00:00	113	2
272	2018-6-21 00:00:00	441	2
273	2018-6-22 00:00:00	382	2
274	2018-5-25 00:00:00	246	2
275	2018-6-18 00:00:00	359	3
276	2018-7-1 00:00:00	757	4
