create_time	buy_amount
2018-5-21 00:00:00	308
2018-5-22 00:00:00	789
2018-5-23 00:00:00	734
2018-5-24 00:00:00	685
2018-5-25 00:00:00	763
2018-5-26 00:00:00	684
2018-5-27 00:00:00	555
2018-5-28 00:00:00	629
2018-5-29 00:00:00	809
2018-5-30 00:00:00	663
2018-5-31 00:00:00	667
2018-6-1 00:00:00	792
2018-6-2 00:00:00	652
2018-6-3 00:00:00	640
2018-6-4 00:00:00	747
2018-6-5 00:00:00	777
2018-6-6 00:00:00	679
2018-6-7 00:00:00	752
2018-6-8 00:00:00	699
2018-6-9 00:00:00	689
2018-6-10 00:00:00	778
2018-6-11 00:00:00	928
2018-6-12 00:00:00	805
2018-6-13 00:00:00	714
2018-6-14 00:00:00	799
2018-6-15 00:00:00	685
2018-6-16 00:00:00	736
2018-6-17 00:00:00	613
2018-6-18 00:00:00	696
2018-6-19 00:00:00	613
2018-6-20 00:00:00	623
2018-6-21 00:00:00	760
2018-6-22 00:00:00	754
2018-6-23 00:00:00	796
2018-6-24 00:00:00	748
2018-6-25 00:00:00	692
2018-6-26 00:00:00	635
2018-6-27 00:00:00	817
2018-6-28 00:00:00	731
2018-6-29 00:00:00	745
2018-6-30 00:00:00	761
2018-7-1 00:00:00	657
2018-7-2 00:00:00	586
2018-7-3 00:00:00	750
2018-7-4 00:00:00	673
2018-7-5 00:00:00	679
2018-7-6 00:00:00	745
2018-7-7 00:00:00	870
2018-7-8 00:00:00	853
2018-7-9 00:00:00	809
2018-7-10 00:00:00	376
