,customer_id,recommendation
0,2,"[448, 384, 451, 452, 413, 447, 418, 806, 519, 807]"
1,3,"[800, 646, 510, 161, 600, 872, 106, 146, 950, 509]"
2,4,"[436, 674, 931, 838, 266, 810, 533, 857, 317, 415]"
3,5,"[703, 4, 1, 161, 654, 304, 856, 158, 227, 973]"
4,6,"[475, 451, 474, 318, 229, 796, 120, 758, 457, 458]"
5,7,"[464, 814, 511, 564, 767, 311, 704, 835, 558, 400]"
6,8,"[112, 248, 120, 758, 234, 242, 245, 247, 89, 6]"
7,9,"[724, 61, 58, 638, 399, 454, 57, 715, 498, 253]"
8,10,"[137, 564, 413, 807, 767, 105, 783, 71, 169, 553]"
9,11,"[202, 665, 635, 367, 482, 643, 102, 935, 615, 239]"
10,13,"[130, 284, 807, 561, 668, 196, 17, 524, 90, 604]"
11,14,"[426, 334, 737, 132, 503, 463, 516, 399, 762, 294]"
12,15,"[318, 177, 85, 470, 681, 81, 255, 381, 445, 849]"
13,16,"[387, 99, 884, 946, 254, 503, 355, 903, 82, 169]"
14,17,"[137, 414, 91, 807, 365, 405, 804, 398, 229, 509]"
15,18,"[207, 177, 66, 343, 71, 176, 212, 67, 251, 156]"
16,19,"[16, 17, 19, 40, 474, 579, 57, 604, 605, 486]"
17,22,"[124, 288, 535, 120, 1, 2, 4, 602, 859, 443]"
18,23,"[649, 761, 71, 482, 276, 355, 353, 420, 217, 835]"
19,24,"[672, 469, 838, 58, 180, 717, 564, 608, 609, 325]"
20,25,"[723, 781, 29, 413, 307, 744, 718, 503, 469, 132]"
21,26,"[758, 923, 160, 724, 428, 225, 63, 35, 765, 463]"
22,27,"[503, 63, 349, 100, 496, 222, 347, 341, 72, 207]"
23,28,"[402, 590, 44, 551, 387, 330, 509, 547, 346, 654]"
24,29,"[576, 574, 318, 655, 636, 328, 800, 2, 4, 872]"
25,30,"[304, 359, 1, 276, 225, 923, 762, 463, 99, 85]"
26,31,"[617, 631, 504, 35, 174, 623, 591, 563, 724, 725]"
27,32,"[82, 64, 556, 186, 623, 636, 375, 431, 839, 169]"
28,33,"[2, 366, 761, 834, 169, 459, 291, 292, 413, 777]"
29,34,"[100, 265, 285, 9, 776, 337, 830, 543, 768, 962]"
30,35,"[330, 278, 714, 82, 69, 816, 343, 265, 144, 883]"
31,37,"[69, 402, 381, 367, 494, 166, 678, 248, 50, 253]"
32,38,"[509, 664, 903, 229, 616, 382, 85, 712, 465, 793]"
33,39,"[806, 99, 451, 645, 438, 832, 833, 488, 497, 147]"
34,40,"[621, 235, 119, 152, 105, 519, 496, 635, 424, 425]"
35,41,"[472, 126, 12, 973, 974, 623, 326, 347, 947, 825]"
36,42,"[403, 350, 576, 149, 574, 242, 245, 247, 248, 89]"
37,43,"[279, 265, 100, 524, 219, 278, 364, 187, 2, 762]"
38,44,"[29, 808, 409, 128, 321, 217, 25, 26, 576, 149]"
39,45,"[17, 159, 128, 202, 425, 585, 741, 968, 153, 833]"
40,46,"[479, 67, 804, 471, 169, 177, 830, 65, 66, 68]"
41,48,"[189, 9, 779, 186, 239, 157, 162, 829, 16, 17]"
42,49,"[63, 849, 784, 847, 590, 727, 229, 137, 426, 188]"
43,50,"[762, 237, 330, 417, 74, 431, 48, 596, 440, 670]"
44,51,"[507, 508, 578, 900, 581, 210, 595, 918, 347, 931]"
45,53,"[57, 670, 655, 323, 614, 615, 265, 189, 9, 736]"
46,54,"[96, 535, 826, 724, 132, 346, 347, 348, 349, 454]"
47,55,"[180, 181, 176, 620, 66, 364, 4, 330, 686, 222]"
48,56,"[505, 419, 716, 477, 451, 433, 17, 603, 252, 33]"
49,57,"[643, 909, 656, 565, 123, 574, 64, 658, 19, 278]"
50,58,"[246, 343, 328, 649, 128, 469, 723, 106, 248, 326]"
51,59,"[322, 53, 554, 356, 225, 285, 486, 135, 130, 765]"
52,60,"[144, 529, 83, 686, 795, 246, 535, 607, 195, 197]"
53,61,"[480, 129, 474, 172, 426, 427, 429, 431, 58, 100]"
54,63,"[398, 246, 82, 310, 359, 445, 772, 144, 628, 630]"
55,64,"[562, 892, 378, 63, 128, 222, 134, 656, 459, 288]"
56,65,"[390, 334, 786, 724, 789, 790, 930, 519, 233, 778]"
57,66,"[74, 420, 807, 849, 489, 45, 692, 761, 112, 176]"
58,67,"[310, 816, 177, 398, 345, 971, 344, 126, 120, 500]"
59,68,"[239, 792, 398, 171, 157, 811, 328, 214, 135, 126]"
60,69,"[737, 893, 462, 679, 682, 556, 176, 410, 297, 694]"
61,70,"[820, 176, 431, 208, 412, 237, 582, 279, 639, 261]"
62,71,"[761, 353, 420, 74, 101, 102, 932, 482, 870, 617]"
63,72,"[480, 621, 489, 477, 201, 416, 581, 251, 524, 359]"
64,74,"[71, 73, 74, 75, 751, 739, 462, 138, 174, 850]"
65,75,"[822, 781, 586, 872, 469, 119, 504, 807, 360, 813]"
66,76,"[61, 334, 464, 426, 294, 427, 429, 431, 810, 366]"
67,77,"[44, 622, 233, 91, 212, 159, 740, 248, 703, 656]"
68,78,"[733, 648, 132, 176, 665, 382, 388, 808, 247, 469]"
69,79,"[80, 46, 774, 73, 654, 451, 551, 436, 550, 375]"
70,80,"[857, 546, 100, 778, 975, 406, 353, 769, 581, 621]"
71,81,"[278, 762, 59, 165, 736, 283, 669, 197, 238, 277]"
72,82,"[99, 169, 355, 761, 758, 292, 24, 21, 22, 23]"
73,84,"[294, 299, 105, 116, 488, 552, 662, 663, 792, 730]"
74,85,"[61, 63, 399, 678, 638, 59, 60, 400, 24, 37]"
75,86,"[157, 341, 400, 480, 129, 172, 474, 451, 299, 17]"
76,87,"[65, 428, 688, 122, 185, 451, 645, 601, 630, 733]"
77,88,"[645, 185, 806, 41, 543, 299, 433, 480, 251, 771]"
78,89,"[552, 890, 963, 139, 524, 207, 17, 210, 795, 796]"
79,91,"[724, 748, 32, 288, 287, 298, 299, 688, 122, 826]"
80,92,"[546, 641, 816, 709, 361, 620, 17, 18, 19, 137]"
81,93,"[24, 485, 737, 33, 132, 157, 58, 71, 348, 712]"
82,94,"[66, 119, 489, 724, 388, 623, 322, 381, 68, 152]"
83,95,"[623, 12, 973, 974, 260, 479, 225, 731, 61, 146]"
84,96,"[65, 480, 64, 658, 16, 381, 302, 17, 414, 648]"
85,97,"[126, 359, 237, 271, 536, 377, 472, 106, 227, 256]"
86,98,"[85, 67, 381, 383, 129, 172, 333, 341, 474, 175]"
87,99,"[744, 123, 166, 413, 132, 57, 605, 870, 707, 736]"
88,100,"[598, 620, 260, 581, 567, 600, 141, 13, 591, 599]"
89,101,"[776, 128, 208, 61, 63, 135, 426, 503, 546, 294]"
90,102,"[160, 157, 61, 762, 304, 364, 798, 923, 126, 473]"
91,103,"[126, 63, 576, 147, 146, 581, 316, 145, 132, 326]"
92,104,"[281, 714, 383, 672, 673, 385, 357, 229, 111, 656]"
93,105,"[2, 590, 293, 171, 523, 346, 222, 229, 144, 807]"
94,106,"[366, 8, 317, 532, 464, 288, 535, 353, 162, 99]"
95,107,"[776, 208, 100, 132, 134, 495, 496, 498, 51, 436]"
96,108,"[61, 132, 104, 165, 82, 781, 386, 323, 899, 655]"
97,109,"[157, 4, 774, 246, 238, 237, 536, 377, 307, 67]"
98,110,"[24, 96, 423, 9, 50, 311, 151, 353, 162, 99]"
99,111,"[833, 607, 690, 237, 724, 64, 639, 83, 267, 953]"
100,112,"[343, 317, 636, 82, 321, 4, 314, 289, 475, 671]"
101,113,"[451, 100, 293, 296, 171, 157, 496, 635, 58, 524]"
102,114,"[44, 413, 143, 723, 222, 402, 461, 425, 309, 644]"
103,115,"[485, 922, 782, 503, 788, 704, 590, 323, 176, 157]"
104,116,"[776, 398, 99, 387, 58, 562, 740, 436, 248, 375]"
105,117,"[123, 106, 145, 148, 811, 232, 233, 229, 231, 913]"
106,118,"[812, 52, 798, 23, 149, 642, 99, 932, 931, 900]"
107,119,"[238, 376, 366, 176, 431, 674, 676, 41, 413, 414]"
108,120,"[67, 135, 477, 294, 334, 335, 336, 337, 338, 339]"
109,121,"[865, 866, 867, 868, 869, 500, 795]"
110,122,"[556, 248, 808, 376, 366, 177, 69, 174, 173, 412]"
111,123,"[207, 463, 63, 666, 252, 402, 37, 86, 777, 288]"
112,124,"[725, 556, 649, 929, 642, 137, 897, 804, 106, 176]"
113,125,"[864, 65, 772, 425, 862, 690, 445, 478, 863, 545]"
114,126,"[641, 776, 777, 458, 778, 495, 74, 431, 48, 276]"
115,127,"[489, 355, 490, 492, 470, 479, 126, 106, 377, 942]"
116,128,"[543, 645, 716, 16, 384, 207, 413, 73, 503, 298]"
117,129,"[96, 423, 9, 50, 311, 24, 511]"
118,130,"[715, 307, 485, 797, 668, 196, 382, 796, 524, 40]"
119,131,"[371, 694, 58, 564, 535, 259, 262, 497, 699, 700]"
120,132,"[654, 244, 950, 764, 795, 126, 296, 105, 651, 460]"
121,133,"[643, 736, 276, 669, 472, 52, 61, 775, 130, 53]"
122,134,"[232, 233, 234, 229, 160, 225, 609, 737, 71, 713]"
123,135,"[123, 148, 152, 363, 459, 365, 655, 212, 318, 490]"
124,136,"[222, 67, 724, 577, 734, 686, 469, 660, 350, 388]"
125,137,"[403, 930, 519, 233, 778, 350, 382, 73, 302, 363]"
126,138,"[638, 82, 310, 143, 714, 344, 65, 345, 832, 822]"
127,139,"[171, 123, 168, 170, 35, 617, 174, 591, 623, 563]"
128,140,"[223, 139, 540, 665, 387, 460, 29, 496, 146, 318]"
129,141,"[119, 793, 376, 366, 176, 431, 630, 412, 237, 582]"
130,142,"[123, 206, 316, 403, 17, 425, 475, 724, 758, 458]"
131,143,"[161, 2, 3, 4, 70, 645, 646, 11, 654, 304]"
132,144,"[451, 856, 2, 161, 600, 764, 61, 32, 509, 425]"
133,145,"[590, 694, 69, 461, 779, 180, 144, 388, 565, 21]"
134,146,"[99, 316, 74, 102, 804, 835, 972, 16, 671, 640]"
135,147,"[546, 637, 174, 462, 633, 119, 632, 634, 635, 636]"
136,148,"[610, 643, 309, 776, 528, 613, 462, 772, 773, 614]"
137,149,"[142, 899, 137, 143, 222, 229, 139, 214, 272, 386]"
138,150,"[621, 769, 19, 318, 119, 523, 111, 40, 41, 42]"
139,152,"[719, 322, 861, 294, 890, 963, 453, 424, 425, 109]"
140,153,"[395, 463, 589, 253, 210, 903, 451, 73, 587, 459]"
141,154,"[256, 64, 258, 260, 255, 484, 804, 73, 80, 882]"
142,155,"[265, 189, 9, 130, 53, 283, 284, 286, 386, 323]"
143,156,"[16, 4, 540, 310, 529, 316, 526, 359, 82, 541]"
144,157,"[329, 330, 609, 475, 538, 536, 288, 96, 497, 4]"
145,158,"[402, 145, 523, 469, 790, 233, 19, 565, 63, 551]"
146,159,"[744, 835, 838, 412, 237, 582, 375, 488, 770, 719]"
147,160,"[201, 759, 558, 368, 272, 402, 755, 756, 757, 758]"
148,161,"[141, 144, 139, 137, 551, 138, 140, 969, 162, 940]"
149,163,"[309, 612, 950, 207, 8, 366, 375, 51, 469, 58]"
150,164,"[66, 205, 64, 65, 67, 69, 679, 556, 176, 372]"
151,165,"[58, 646, 748, 85, 1, 463, 472, 283, 334, 33]"
152,166,"[83, 51, 14, 841, 294, 296, 723, 410, 648, 128]"
153,167,"[564, 654, 137, 267, 425, 27, 119, 478, 154, 294]"
154,169,"[16, 458, 365, 550, 100, 778, 975, 406, 415, 637]"
155,170,"[171, 167, 724, 99, 168, 482, 870, 777, 588, 467]"
156,171,"[167, 126, 168, 648, 564, 137, 44, 371, 590, 638]"
157,172,"[608, 19, 325, 103, 43, 538, 606, 529, 491, 827]"
158,173,"[137, 807, 764, 80, 558, 79, 13, 402, 556, 159]"
159,174,"[891, 120, 496, 593, 834, 248, 413, 164, 328, 363]"
160,175,"[282, 413, 486, 483, 638, 550, 457, 490, 620, 814]"
161,176,"[66, 259, 157, 294, 459, 291, 292, 239, 410, 923]"
162,177,"[58, 144, 106, 581, 826, 61, 459, 835, 704, 32]"
163,178,"[321, 509, 483, 947, 126, 543, 320, 2, 526, 475]"
164,179,"[65, 389, 936, 937, 715, 498, 61, 445, 32, 33]"
165,181,"[170, 359, 38, 469, 168, 592, 33, 692, 472, 227]"
166,182,"[332, 798, 126, 756, 654, 380, 161, 174, 595, 677]"
167,184,"[333, 441, 122, 945, 506, 400, 586, 395, 792, 425]"
168,185,"[486, 67, 382, 193, 834, 83, 157, 57, 90, 604]"
169,186,"[758, 953, 128, 176, 117, 29, 938, 830, 641, 601]"
170,187,"[307, 126, 790, 617, 641, 283, 276, 38, 789, 769]"
171,190,"[730, 731, 341, 199, 33, 454, 455, 328, 301, 78]"
172,191,"[403, 715, 161, 638, 144, 628, 343, 762, 59, 276]"
173,192,"[63, 210, 712, 348, 413, 269, 279, 882, 770, 205]"
174,193,"[72, 737, 463, 884, 174, 169, 564, 386, 46, 331]"
175,194,"[407, 635, 47, 856, 619, 645, 669, 546, 100, 778]"
176,195,"[33, 454, 328, 301, 78, 441, 320, 451, 8, 137]"
177,197,"[277, 197, 238, 279, 762, 99, 417, 597, 285, 19]"
178,198,"[125, 120, 29, 274, 159, 316, 458, 656, 346, 551]"
179,199,"[280, 354, 932, 353, 104, 74, 101, 102, 578, 900]"
180,201,"[488, 636, 894, 895, 126, 595, 59, 276, 165, 907]"
