,customer_id,recommendation
0,2,"[448, 806, 298, 235, 447, 449, 278, 413, 9, 169]"
1,3,"[785, 787, 800, 97, 95, 510, 305, 312, 319, 96]"
2,4,"[555, 43, 432, 427, 429, 348, 561, 379, 545, 549]"
3,5,"[710, 599, 204, 203, 706, 708, 711, 141, 598, 600]"
4,6,"[912, 476, 603, 828, 799, 972, 785, 787, 264, 877]"
5,7,"[422, 150, 155, 555, 148, 511, 418, 354, 420, 421]"
6,8,"[115, 108, 116, 847, 721, 111, 113, 114, 748, 104]"
7,9,"[848, 287, 710, 168, 913, 117, 226, 228, 70, 936]"
8,10,"[801, 938, 7, 871, 6, 432, 555, 802, 803, 805]"
9,11,"[74, 431, 670, 391, 869, 913, 440, 203, 204, 769]"
10,13,"[888, 285, 828, 130, 836, 654, 327, 555, 284, 286]"
11,14,"[427, 429, 430, 513, 514, 517, 593, 426, 515, 516]"
12,15,"[263, 964, 965, 255, 445, 936, 937, 862, 381, 256]"
13,16,"[905, 845, 880, 81, 84, 88, 801, 169, 938, 569]"
14,17,"[405, 979, 854, 398, 834, 856, 857, 912, 745, 914]"
15,18,"[163, 905, 263, 683, 971, 164, 156, 970, 742, 840]"
16,19,"[742, 305, 312, 319, 744, 325, 585, 616, 745, 746]"
17,22,"[117, 124, 870, 486, 250, 606, 288, 535, 423, 311]"
18,23,"[431, 48, 670, 854, 440, 780, 761, 834, 856, 857]"
19,24,"[606, 325, 614, 615, 608, 609, 672, 607, 837, 838]"
20,25,"[25, 305, 312, 319, 391, 858, 900, 836, 901, 921]"
21,26,"[95, 93, 925, 574, 3, 913, 30, 481, 487, 728]"
22,27,"[824, 442, 771, 797, 755, 966, 902, 305, 312, 319]"
23,28,"[599, 545, 549, 598, 600, 8, 785, 787, 491, 13]"
24,29,"[356, 847, 721, 800, 960, 616, 842, 843, 860, 575]"
25,30,"[598, 530, 587, 84, 88, 331, 515, 371, 373, 374]"
26,31,"[693, 39, 273, 710, 885, 691, 842, 843, 695, 697]"
27,32,"[971, 784, 851, 408, 742, 840, 881, 84, 88, 64]"
28,33,"[264, 360, 544, 632, 784, 408, 156, 515, 115, 858]"
29,34,"[854, 305, 312, 319, 834, 593, 856, 857, 62, 308]"
30,35,"[360, 717, 197, 448, 186, 446, 0, 840, 964, 965]"
31,37,"[941, 367, 840, 411, 368, 233, 964, 965, 11, 841]"
32,38,"[742, 744, 869, 832, 405, 325, 360, 585, 616, 745]"
33,39,"[902, 901, 369, 964, 965, 780, 855, 806, 235, 182]"
34,40,"[621, 115, 632, 915, 200, 705, 423, 108, 116, 405]"
35,41,"[327, 284, 713, 920, 30, 973, 974, 970, 107, 809]"
36,42,"[577, 578, 742, 912, 961, 450, 633, 954, 744, 576]"
37,43,"[939, 783, 634, 806, 970, 150, 155, 569, 860, 612]"
38,44,"[846, 933, 934, 750, 652, 654, 960, 575, 912, 851]"
39,45,"[801, 938, 870, 486, 95, 603, 933, 934, 203, 204]"
40,46,"[599, 479, 491, 141, 305, 312, 319, 549, 396, 664]"
41,48,"[784, 408, 186, 610, 727, 540, 175, 639, 197, 533]"
42,49,"[107, 295, 561, 626, 845, 784, 408, 509, 847, 912]"
43,50,"[235, 191, 566, 0, 908, 509, 800, 742, 569, 860]"
