rgt_time	rgt_amount
2018-06-01	1
2018-06-05	5
2018-06-06	14
2018-06-07	12
2018-06-08	16
2018-06-09	10
2018-06-10	16
2018-06-11	20
2018-06-12	16
2018-06-13	14
2018-06-14	14
2018-06-15	24
2018-06-16	16
2018-06-17	20
2018-06-18	21
2018-06-19	12
2018-06-20	17
2018-06-21	18
2018-06-22	19
2018-06-23	17
2018-06-24	28
2018-06-25	17
2018-06-26	19
2018-06-27	14
2018-06-28	12
2018-06-29	22
2018-06-30	12
2018-07-01	14
2018-07-02	17
2018-07-03	18
2018-07-04	10
2018-07-05	14
2018-07-11	3
2018-07-12	8
2018-07-13	4
2018-07-14	6
