,customer_id,recommendation
0,2,"[1, 20, 29, 4, 18, 13, 2, 17, 33, 14]"
1,3,"[0, 20, 29, 13, 22, 14, 26, 7, 18, 21]"
2,4,"[1, 0, 29, 13, 22, 2, 17, 20, 41, 14]"
3,5,"[20, 2, 4, 29, 14, 17, 18, 22, 7, 26]"
4,6,"[20, 0, 4, 29, 2, 22, 26, 13, 7, 18]"
5,7,"[1, 4, 2, 13, 20, 14, 29, 22, 33, 35]"
6,8,"[1, 4, 29, 2, 13, 22, 18, 17, 33, 64]"
7,9,"[1, 0, 29, 4, 13, 20, 14, 5, 26, 19]"
8,10,"[0, 2, 22, 13, 29, 14, 18, 35, 45, 7]"
9,11,"[20, 0, 4, 14, 26, 22, 13, 7, 5, 18]"
10,13,"[1, 20, 2, 29, 18, 13, 17, 14, 22, 45]"
11,14,"[20, 2, 29, 13, 4, 14, 7, 17, 33, 22]"
12,15,"[20, 29, 4, 2, 13, 26, 17, 7, 33, 5]"
13,16,"[1, 0, 20, 2, 29, 14, 4, 17, 13, 22]"
14,17,"[20, 0, 2, 22, 29, 13, 45, 7, 18, 59]"
15,18,"[1, 20, 2, 29, 4, 17, 14, 13, 22, 21]"
16,19,"[1, 20, 14, 0, 29, 13, 4, 59, 2, 7]"
17,22,"[1, 0, 20, 4, 2, 7, 5, 17, 26, 13]"
18,23,"[1, 0, 29, 22, 2, 20, 4, 17, 13, 26]"
19,24,"[20, 1, 4, 53, 0, 17, 55, 29, 63, 18]"
20,25,"[22, 2, 13, 14, 18, 17, 26, 35, 19, 33]"
21,26,"[1, 4, 2, 29, 13, 18, 14, 22, 33, 19]"
22,27,"[4, 2, 13, 14, 7, 18, 26, 5, 64, 33]"
23,28,"[1, 2, 29, 4, 13, 14, 5, 17, 18, 22]"
24,29,"[2, 4, 13, 14, 22, 18, 5, 7, 17, 26]"
25,30,"[4, 14, 22, 18, 26, 7, 17, 21, 33, 64]"
26,31,"[1, 0, 29, 4, 20, 14, 13, 26, 17, 7]"
27,32,"[0, 20, 13, 2, 22, 4, 29, 17, 7, 14]"
28,33,"[20, 4, 29, 18, 14, 7, 26, 22, 61, 33]"
29,34,"[1, 0, 4, 2, 18, 20, 22, 19, 13, 14]"
30,35,"[20, 4, 2, 13, 7, 26, 5, 35, 19, 33]"
31,37,"[0, 4, 29, 22, 18, 26, 5, 17, 7, 9]"
32,38,"[0, 20, 29, 13, 4, 14, 2, 26, 17, 41]"
33,39,"[1, 2, 20, 0, 4, 29, 17, 59, 14, 22]"
34,40,"[20, 0, 4, 29, 14, 13, 22, 7, 5, 59]"
35,41,"[0, 29, 4, 14, 2, 13, 7, 5, 59, 64]"
36,42,"[20, 0, 2, 4, 13, 14, 26, 17, 18, 5]"
37,43,"[4, 29, 2, 13, 14, 18, 7, 59, 33, 64]"
38,44,"[4, 13, 26, 18, 7, 5, 17, 33, 64, 9]"
39,45,"[0, 2, 29, 4, 22, 13, 14, 5, 7, 26]"
40,46,"[1, 0, 29, 4, 14, 2, 22, 13, 18, 64]"
41,48,"[1, 0, 4, 20, 29, 17, 2, 26, 9, 7]"
42,49,"[20, 0, 2, 4, 29, 13, 26, 14, 17, 7]"
43,50,"[1, 20, 4, 18, 2, 22, 13, 14, 17, 33]"
44,51,"[1, 0, 20, 4, 2, 44, 17, 5, 15, 7]"
45,53,"[1, 20, 2, 29, 0, 14, 4, 13, 18, 72]"
46,54,"[1, 0, 20, 29, 13, 2, 17, 14, 26, 19]"
47,55,"[4, 29, 17, 18, 5, 7, 64, 63, 33, 59]"
48,56,"[1, 4, 0, 20, 18, 13, 14, 17, 29, 26]"
49,57,"[20, 2, 0, 29, 22, 13, 7, 26, 19, 14]"
50,58,"[14, 13, 17, 26, 7, 43, 64, 21, 15, 52]"
51,59,"[1, 20, 0, 22, 13, 18, 14, 59, 7, 17]"
52,60,"[20, 0, 2, 22, 14, 7, 4, 13, 26, 18]"
53,61,"[20, 2, 29, 22, 13, 14, 18, 35, 26, 19]"
54,63,"[20, 0, 29, 4, 7, 26, 14, 2, 13, 17]"
55,64,"[1, 20, 2, 4, 17, 14, 7, 5, 26, 33]"
56,65,"[0, 29, 2, 4, 14, 22, 13, 7, 26, 64]"
57,66,"[0, 2, 20, 29, 22, 13, 26, 35, 45, 5]"
58,67,"[29, 2, 4, 22, 13, 17, 5, 33, 64, 59]"
59,68,"[0, 20, 2, 22, 18, 17, 14, 19, 45, 26]"
60,69,"[0, 20, 29, 4, 13, 26, 22, 2, 59, 14]"
61,70,"[1, 29, 4, 13, 17, 20, 2, 14, 33, 22]"
62,71,"[1, 14, 0, 7, 17, 33, 29, 10, 13, 2]"
63,72,"[20, 29, 18, 14, 22, 26, 35, 19, 7, 33]"
64,74,"[1, 0, 14, 20, 2, 4, 7, 13, 17, 18]"
65,75,"[1, 20, 2, 29, 13, 22, 14, 18, 19, 33]"
66,76,"[20, 0, 4, 29, 14, 26, 13, 18, 22, 7]"
67,77,"[2, 29, 13, 22, 26, 18, 17, 7, 19, 33]"
68,78,"[1, 0, 4, 2, 13, 18, 5, 17, 43, 64]"
69,79,"[0, 1, 4, 2, 20, 22, 13, 14, 29, 61]"
70,80,"[1, 0, 20, 2, 18, 14, 4, 17, 15, 82]"
71,81,"[1, 2, 0, 20, 22, 14, 4, 7, 18, 59]"
72,82,"[0, 2, 20, 22, 13, 18, 14, 19, 35, 26]"
73,84,"[0, 22, 29, 4, 2, 13, 26, 5, 7, 64]"
74,85,"[0, 2, 4, 29, 13, 22, 14, 7, 5, 64]"
75,86,"[1, 20, 2, 29, 4, 13, 18, 17, 26, 59]"
76,87,"[0, 20, 2, 29, 14, 18, 7, 19, 45, 59]"
77,88,"[1, 20, 2, 4, 18, 22, 17, 13, 7, 26]"
78,89,"[1, 0, 2, 20, 22, 7, 18, 4, 5, 14]"
79,91,"[0, 2, 20, 4, 29, 14, 22, 17, 7, 59]"
80,92,"[20, 0, 29, 26, 4, 22, 13, 18, 7, 5]"
81,93,"[20, 4, 13, 22, 14, 7, 19, 33, 59, 21]"
82,94,"[0, 2, 20, 22, 29, 4, 13, 14, 7, 26]"
83,95,"[1, 20, 2, 29, 4, 18, 22, 14, 13, 17]"
84,96,"[1, 20, 4, 2, 17, 14, 18, 13, 7, 23]"
85,97,"[1, 20, 0, 2, 18, 29, 19, 82, 31, 14]"
86,98,"[0, 29, 4, 22, 2, 14, 13, 7, 26, 64]"
87,99,"[1, 0, 2, 20, 22, 18, 29, 35, 14, 7]"
88,100,"[1, 20, 0, 29, 22, 18, 19, 45, 17, 59]"
89,101,"[20, 22, 14, 17, 5, 59, 33, 19, 63, 45]"
90,102,"[20, 2, 4, 22, 18, 26, 13, 7, 17, 33]"
91,103,"[1, 4, 20, 2, 17, 14, 18, 5, 22, 13]"
92,104,"[1, 0, 4, 29, 22, 2, 14, 13, 18, 64]"
93,105,"[20, 2, 0, 29, 13, 14, 22, 4, 7, 59]"
94,106,"[20, 2, 4, 22, 18, 13, 7, 17, 26, 33]"
95,107,"[1, 29, 0, 20, 4, 26, 5, 13, 18, 14]"
96,108,"[20, 4, 13, 22, 18, 14, 26, 17, 7, 64]"
97,109,"[20, 4, 29, 14, 22, 26, 5, 8, 74, 35]"
98,110,"[0, 2, 20, 4, 1, 22, 7, 18, 5, 14]"
99,111,"[0, 20, 29, 13, 14, 17, 7, 5, 45, 19]"
100,112,"[1, 0, 14, 7, 29, 4, 81, 17, 25, 21]"
101,113,"[20, 0, 29, 4, 26, 14, 18, 22, 17, 5]"
