,customer_id,recommendation
0,2,"[259, 408, 9, 175, 369, 342, 407, 406, 411, 193]"
1,3,"[512, 145, 785, 515, 523, 320, 128, 740, 741, 742]"
2,4,"[507, 509, 228, 173, 624, 625, 179, 807, 808, 492]"
3,5,"[32, 645, 360, 649, 651, 77, 509, 94, 449, 268]"
4,6,"[105, 604, 753, 412, 75, 76, 77, 78, 130, 561]"
5,7,"[514, 717, 32, 33, 34, 642, 402, 24, 122, 795]"
6,8,"[275, 277, 105, 801, 700, 629, 339, 682, 555, 664]"
7,9,"[351, 47, 355, 807, 913, 438, 535, 717, 559, 755]"
8,10,"[514, 763, 509, 7, 604, 645, 17, 19, 717, 64]"
9,11,"[673, 526, 389, 398, 238, 240, 60, 136, 9, 270]"
10,13,"[115, 614, 246, 276, 808, 176, 68, 248, 245, 376]"
11,14,"[792, 87, 761, 149, 238, 457, 569, 629, 631, 185]"
12,15,"[300, 627, 423, 808, 222, 356, 183, 299, 301, 626]"
13,16,"[84, 311, 68, 153, 861, 49, 704, 690, 480, 810]"
14,17,"[360, 763, 324, 33, 18, 34, 466, 467, 122, 356]"
15,18,"[161, 159, 57, 160, 217, 185, 146, 466, 187, 319]"
16,19,"[509, 382, 16, 13, 14, 554, 555, 44, 441, 613]"
17,22,"[109, 490, 746, 355, 141, 552, 761, 85, 293, 390]"
18,23,"[57, 436, 593, 238, 786, 311, 38, 377, 713, 792]"
19,24,"[795, 794, 619, 560, 284, 558, 559, 384, 514, 164]"
20,25,"[320, 410, 302, 687, 605, 369, 734, 257, 150, 585]"
21,26,"[386, 886, 416, 486, 365, 715, 792, 263, 340, 27]"
22,27,"[306, 58, 304, 249, 533, 213, 354, 326, 450, 583]"
23,28,"[501, 497, 289, 357, 547, 548, 549, 517, 550, 551]"
24,29,"[789, 526, 288, 524, 205, 302, 463, 564, 561, 460]"
25,30,"[1, 265, 761, 71, 59, 600, 817, 536, 416, 544]"
26,31,"[461, 235, 638, 57, 758, 647, 562, 637, 639, 230]"
27,32,"[68, 71, 653, 568, 170, 581, 167, 403, 325, 846]"
28,33,"[158, 2, 253, 142, 761, 653, 354, 478, 763, 318]"
29,34,"[9, 228, 49, 234, 422, 383, 744, 786, 85, 759]"
30,35,"[205, 238, 239, 240, 241, 129, 290, 228, 842, 663]"
31,37,"[692, 55, 454, 339, 150, 216, 515, 726, 696, 538]"
32,38,"[198, 788, 356, 893, 908, 944, 132, 702, 315, 343]"
33,40,"[257, 210, 415, 509, 832, 302, 254, 416, 417, 418]"
34,42,"[162, 528, 578, 193, 674, 870, 871, 585, 65, 356]"
35,43,"[228, 241, 134, 172, 622, 240, 515, 790, 130, 454]"
36,44,"[269, 193, 692, 19, 316, 494, 4, 600, 200, 198]"
37,45,"[416, 143, 382, 534, 794, 294, 847, 71, 417, 194]"
38,46,"[433, 424, 272, 16, 841, 52, 808, 563, 564, 445]"
39,48,"[173, 9, 478, 952, 887, 141, 170, 785, 146, 16]"
40,49,"[293, 428, 434, 114, 533, 507, 676, 466, 776, 842]"
41,50,"[622, 290, 466, 176, 178, 174, 204, 35, 60, 389]"
42,51,"[465, 640, 641, 642, 643, 644, 27, 461, 155, 351]"
43,53,"[44, 52, 736, 615, 686, 238, 41, 42, 43, 4]"
44,54,"[523, 413, 414, 303, 304, 305, 306, 117, 536, 172]"
45,55,"[165, 466, 164, 94, 5, 478, 785, 52, 386, 416]"
46,56,"[410, 381, 105, 553, 215, 376, 718, 462, 164, 325]"
47,57,"[586, 867, 108, 866, 331, 555, 16, 753, 240, 50]"
48,58,"[44, 211, 285, 105, 683, 91, 585, 161, 50, 288]"
49,59,"[68, 281, 40, 130, 115, 735, 312, 106, 656, 99]"
50,60,"[715, 486, 124, 329, 567, 282, 547, 548, 549, 517]"
51,61,"[507, 251, 665, 770, 69, 6, 744, 426, 885, 822]"
52,63,"[50, 354, 356, 129, 573, 575, 748, 694, 269, 908]"
53,64,"[113, 414, 512, 337, 827, 852, 523, 413, 912, 911]"
54,65,"[203, 108, 431, 434, 819, 294, 745, 747, 342, 665]"
55,66,"[60, 520, 783, 786, 808, 443, 518, 763, 704, 690]"
56,67,"[269, 772, 302, 192, 727, 165, 24, 460, 461, 132]"
57,68,"[354, 183, 382, 335, 454, 159, 880, 747, 59, 687]"
