,customer_id,recommendation
0,2,[]
1,3,"[82, 918, 864, 757, 860, 120, 668, 740, 743, 519]"
2,4,"[933, 813, 922, 305, 18, 511, 384, 485, 481, 508]"
3,5,"[181, 182, 658, 180, 187, 656, 143, 184, 449, 268]"
4,6,"[753, 620, 869, 430, 604, 740, 743, 106, 224, 227]"
5,7,"[733, 176, 530, 407, 732, 7, 511, 596, 599, 296]"
6,8,"[100, 99, 92, 805, 806, 914, 801, 430, 793, 93]"
7,9,"[516, 920, 116, 954, 152, 658, 921, 641, 643, 644]"
8,10,"[603, 607, 363, 122, 64, 869, 393, 718, 720, 721]"
9,11,"[180, 894, 895, 389, 616, 719, 453, 181, 182, 884]"
10,13,"[246, 810, 847, 276, 286, 30, 287, 245, 248, 682]"
11,14,"[475, 469, 470, 471, 473, 543, 30, 863, 476, 478]"
12,15,"[938, 597, 790, 404, 631, 589, 218, 899, 900, 820]"
13,16,"[70, 74, 863, 519, 910, 690, 793, 313, 953, 30]"
14,17,"[831, 957, 324, 841, 168, 122, 869, 359, 360, 375]"
15,18,"[695, 693, 417, 147, 61, 863, 631, 418, 142, 157]"
16,19,"[266, 271, 273, 278, 693, 695, 696, 98, 269, 280]"
17,22,"[918, 359, 587, 452, 390, 392, 556, 592, 851, 919]"
18,23,"[931, 932, 934, 733, 677, 933, 685, 593, 274, 121]"
19,24,[]
20,25,"[873, 719, 22, 286, 287, 668, 672, 620, 548, 922]"
21,26,"[399, 439, 940, 901, 558, 435, 442, 577, 579, 492]"
22,27,"[453, 931, 932, 934, 780, 805, 806, 492, 30, 940]"
23,28,"[500, 501, 659, 916, 915, 740, 743, 825, 498, 503]"
24,29,"[561, 322, 689, 671, 930, 495, 942, 802, 525, 524]"
25,30,"[817, 70, 74, 600, 181, 182, 548, 907, 72, 836]"
26,31,"[235, 802, 874, 801, 624, 767, 231, 232, 233, 462]"
27,32,"[907, 946, 892, 70, 74, 693, 695, 798, 71, 696]"
28,33,"[880, 381, 577, 579, 930, 931, 932, 934, 344, 100]"
29,34,"[811, 266, 271, 273, 278, 813, 48, 626, 543, 451]"
30,35,"[663, 787, 318, 772, 808, 219, 892, 221, 0, 259]"
31,37,"[904, 216, 798, 327, 147, 570, 572, 12, 799, 36]"
32,38,"[888, 693, 695, 129, 696, 336, 343, 894, 895, 741]"
33,40,"[566, 862, 565, 953, 580, 100, 380, 577, 579, 453]"
34,42,"[208, 910, 918, 930, 869, 527, 528, 878, 592, 688]"
35,43,"[902, 169, 819, 903, 914, 0, 374, 532, 762, 224]"
36,44,"[198, 896, 654, 869, 930, 600, 905, 733, 704, 833]"
37,45,"[942, 534, 536, 537, 181, 182, 631, 143, 645, 262]"
38,46,"[433, 549, 445, 874, 424, 873, 613, 266, 271, 273]"
